Date,Team 1,Team 2,Score 1,Score 2
1/11/2026,UAB,East Carolina,87,85
1/11/2026,Memphis,Florida Atlantic,78,89
1/11/2026,Northern Kentucky,Green Bay,78,80
1/11/2026,Canisius,Iona,48,74
1/11/2026,Illinois,Iowa,75,69
1/11/2026,Niagara,Manhattan,70,79
1/11/2026,IU Indy,Milwaukee,83,95
1/11/2026,Siena,Mount St. Mary's,67,50
1/11/2026,Wright St.,Oakland,94,84
1/11/2026,Charlotte,Rice,74,73
1/11/2026,Saint Joseph's,Richmond,67,65
1/11/2026,Marist,Rider,71,49
1/11/2026,Purdue Fort Wayne,Robert Morris,79,74
1/11/2026,Northwestern,Rutgers,75,77
1/11/2026,Quinnipiac,Sacred Heart,70,60
1/11/2026,Merrimack,Saint Peter's,63,76
1/11/2026,Cincinnati,UCF,72,73
1/11/2026,Ohio St.,Washington,74,81
1/11/2026,North Texas,Wichita St.,67,78
1/12/2026,Jackson St.,Alabama A&M,91,100
1/12/2026,Alcorn St.,Alabama St.,66,81
